customer_id,first_name,last_name,age,region,state,annual_income,income_class,tax_bracket,credit_score,debt_to_income_ratio,loan_amount,loan_term_months,base_interest_rate,risk_adjusted_interest_rate,loan_purpose,employment_status,delinquency_history,existing_mortgages,has_co_signer,property_type,property_value,ltv_ratio,application_status
CUST0021,Ethan,Khan,43,West,WA,180262,Upper Middle,24%,545,49%,494209,120,6.75,7.53,Auto Loan,Part-Time,2+ delinquencies,0,False,N/A,0,0%,Approved
CUST0022,Daniel,Chen,53,Southwest,NM,172038,Upper Middle,24%,570,39%,102921,360,8.42,9.0,Refinance,Part-Time,1 late,1,True,Multi-Family,1198889,8.58%,Pending
CUST0023,Noah,Khan,37,West,CO,33051,Lower,12%,627,19%,661523,180,4.23,4.41,Auto Loan,Part-Time,2+ delinquencies,2,True,Multi-Family,1223052,54.09%,Pending
CUST0024,Ryan,Patel,68,Midwest,WI,133481,Middle,22%,748,40%,58308,180,7.76,7.86,Primary Home Purchase,Unemployed,None,0,False,Condo,883328,6.6%,Rejected
CUST0025,Mia,Chen,67,Northeast,NJ,217628,Upper Middle,24%,791,53%,603663,360,5.96,6.02,Primary Home Purchase,Self-Employed,2+ delinquencies,1,False,Townhouse,224356,269.06%,Pending
CUST0026,Noah,Brown,74,Northeast,MA,108781,Middle,22%,723,30%,814121,180,6.21,6.11,Investment Property,Unemployed,None,1,False,N/A,0,0%,Rejected
CUST0027,Marcus,Kim,32,West,CO,98385,Middle,22%,699,45%,770777,180,8.2,8.4,Auto Loan,Full-Time,None,0,False,Condo,698992,110.27%,Rejected
CUST0028,Aisha,Jones,37,South,GA,383824,Affluent,32%,698,51%,549522,120,8.33,8.65,Refinance,Self-Employed,None,0,False,Condo,959090,57.3%,Pending
CUST0029,Sophia,Singh,56,South,NC,118668,Middle,22%,609,48%,893890,120,6.23,6.99,Refinance,Full-Time,1 late,0,True,N/A,0,0%,Approved
CUST0030,Olivia,Jones,45,South,TX,48888,Lower,12%,711,49%,164352,360,5.86,6.14,Refinance,Full-Time,2+ delinquencies,2,False,N/A,0,0%,Approved
CUST0031,Marcus,Khan,67,Midwest,IL,216141,Upper Middle,24%,792,34%,228031,120,5.44,5.12,Investment Property,Self-Employed,None,0,True,Townhouse,1187739,19.2%,Pending
CUST0032,Noah,Chen,55,West,CA,132795,Middle,22%,544,35%,811315,120,7.56,8.06,Primary Home Purchase,Self-Employed,None,0,False,Condo,1479181,54.85%,Rejected
CUST0033,Mia,Lopez,47,West,OR,119930,Middle,22%,665,26%,229208,180,7.77,7.59,Primary Home Purchase,Full-Time,1 late,2,False,N/A,0,0%,Pending
CUST0034,Aisha,Patel,59,South,FL,244532,Affluent,32%,548,51%,366837,360,6.62,7.44,Primary Home Purchase,Full-Time,1 late,0,True,Single Family,474540,77.3%,Pending
CUST0035,Mia,Turner,45,Midwest,OH,254786,Affluent,32%,558,17%,136188,120,5.82,5.96,Refinance,Part-Time,None,2,True,Single Family,946651,14.39%,Pending
CUST0036,Aisha,Bennett,38,Northeast,MA,272804,Affluent,32%,653,46%,465916,120,5.45,6.17,Auto Loan,Part-Time,None,2,False,N/A,0,0%,Rejected
CUST0037,Ethan,Chen,28,Northeast,NY,330557,Affluent,32%,662,45%,551108,180,6.63,6.83,Auto Loan,Self-Employed,None,2,False,Condo,1008479,54.65%,Pending
CUST0038,Aisha,Patel,38,South,NC,353673,Affluent,32%,655,42%,470571,120,8.38,9.02,Auto Loan,Self-Employed,1 late,2,True,Single Family,397428,118.4%,Approved
CUST0039,Sophia,Brown,45,Midwest,WI,80990,Middle,22%,529,44%,467009,360,4.2,4.88,Investment Property,Unemployed,None,1,True,Condo,192816,242.2%,Rejected
CUST0040,Aisha,Chen,43,Midwest,MI,338684,Affluent,32%,617,49%,320846,120,4.06,4.84,Investment Property,Part-Time,None,0,True,N/A,0,0%,Pending
CUST0041,Emily,Turner,60,West,CA,303060,Affluent,32%,721,24%,758690,120,5.08,4.86,Primary Home Purchase,Part-Time,None,2,True,N/A,0,0%,Pending
CUST0042,Mia,Turner,68,South,NC,168311,Upper Middle,24%,558,40%,558153,180,6.14,6.74,Investment Property,Self-Employed,1 late,0,False,Multi-Family,205917,271.06%,Pending
CUST0043,Aisha,Lopez,72,West,CA,369853,Affluent,32%,585,25%,365826,360,4.61,4.91,Auto Loan,Part-Time,1 late,1,False,Condo,742301,49.28%,Rejected
CUST0044,Ryan,Patel,73,Northeast,MA,389383,Affluent,32%,549,31%,297940,120,4.66,5.08,Auto Loan,Full-Time,1 late,0,False,Multi-Family,730199,40.8%,Approved
CUST0045,Aisha,Khan,47,South,TX,134573,Middle,22%,754,25%,821954,360,4.58,4.38,Investment Property,Unemployed,2+ delinquencies,2,False,Multi-Family,1108455,74.15%,Approved
CUST0046,Noah,Lopez,69,West,CO,367841,Affluent,32%,580,33%,107108,120,5.55,6.01,Refinance,Full-Time,1 late,0,False,Single Family,1127172,9.5%,Approved
CUST0047,Noah,Bennett,21,South,TX,242890,Affluent,32%,592,40%,453704,360,6.83,7.43,Investment Property,Unemployed,1 late,2,True,N/A,0,0%,Approved
CUST0048,Ethan,Khan,27,Northeast,PA,342572,Affluent,32%,699,29%,525774,180,5.06,4.94,Auto Loan,Self-Employed,1 late,1,True,Condo,346765,151.62%,Rejected
CUST0049,Mia,Turner,59,Midwest,MI,374982,Affluent,32%,757,32%,680265,180,6.4,6.34,Investment Property,Unemployed,None,2,True,Multi-Family,301897,225.33%,Rejected
CUST0050,Ethan,Kim,69,South,FL,77915,Lower Middle,15%,544,31%,708956,120,7.06,7.48,Investment Property,Full-Time,None,1,True,Multi-Family,106069,668.39%,Pending
CUST0051,Sophia,Patel,26,Southwest,NV,392920,Affluent,32%,620,20%,759913,180,5.1,5.3,Investment Property,Full-Time,1 late,0,True,Single Family,982580,77.34%,Pending
CUST0052,Marcus,Patel,74,Southwest,NM,217210,Upper Middle,24%,837,44%,194990,360,7.79,7.67,Investment Property,Self-Employed,2+ delinquencies,0,False,Condo,1432147,13.62%,Rejected
CUST0053,Marcus,Turner,32,Northeast,MA,305378,Affluent,32%,581,16%,575134,360,6.57,6.69,Investment Property,Full-Time,None,1,False,Multi-Family,696210,82.61%,Approved
CUST0054,Sophia,Jones,30,Northeast,MA,370621,Affluent,32%,839,52%,838260,180,4.69,4.73,Auto Loan,Full-Time,2+ delinquencies,2,True,Condo,794743,105.48%,Pending
CUST0055,Emily,Chen,64,Southwest,NM,35287,Lower,12%,649,34%,58512,360,7.07,7.55,Primary Home Purchase,Full-Time,2+ delinquencies,2,False,Townhouse,1091293,5.36%,Rejected
CUST0056,Aisha,Chen,57,South,FL,359588,Affluent,32%,656,48%,396699,360,4.3,5.06,Auto Loan,Unemployed,1 late,0,False,Townhouse,138596,286.23%,Pending
CUST0057,Emily,Jones,35,West,OR,185002,Upper Middle,24%,597,40%,699789,120,7.95,8.55,Primary Home Purchase,Part-Time,2+ delinquencies,1,False,Townhouse,415484,168.43%,Pending
CUST0058,Ethan,Brown,72,Northeast,NY,97728,Middle,22%,744,16%,461597,120,8.08,7.7,Investment Property,Self-Employed,2+ delinquencies,1,False,Townhouse,1225222,37.67%,Rejected
CUST0059,Ryan,Brown,25,West,CA,89379,Middle,22%,750,41%,148723,120,4.68,4.8,Primary Home Purchase,Full-Time,None,2,True,Single Family,1494397,9.95%,Pending
CUST0060,Marcus,Lopez,47,Midwest,OH,204944,Upper Middle,24%,637,52%,498396,360,5.7,6.54,Primary Home Purchase,Unemployed,2+ delinquencies,0,False,N/A,0,0%,Approved
CUST0061,Noah,Kim,38,Midwest,MI,367827,Affluent,32%,811,40%,436858,360,5.56,5.36,Investment Property,Part-Time,1 late,1,False,Condo,156077,279.9%,Rejected
CUST0062,Aisha,Kim,61,Northeast,NY,218014,Upper Middle,24%,623,26%,745275,120,8.15,8.47,Auto Loan,Self-Employed,1 late,0,False,Condo,397320,187.58%,Pending
CUST0063,Mia,Chen,29,Midwest,MI,64560,Lower Middle,15%,821,51%,182717,180,7.77,7.79,Primary Home Purchase,Self-Employed,1 late,2,True,N/A,0,0%,Rejected
CUST0064,Emily,Khan,74,South,NC,331368,Affluent,32%,636,40%,63224,360,5.79,6.39,Primary Home Purchase,Part-Time,2+ delinquencies,1,False,Condo,924193,6.84%,Rejected
CUST0065,Emily,Bennett,74,Northeast,PA,312100,Affluent,32%,680,43%,144270,360,6.85,7.01,Auto Loan,Part-Time,None,0,True,Single Family,650451,22.18%,Approved
CUST0066,Ethan,Khan,38,Southwest,NV,236524,Affluent,32%,568,21%,780880,120,5.79,6.01,Investment Property,Self-Employed,2+ delinquencies,1,False,N/A,0,0%,Approved
CUST0067,Olivia,Khan,52,Northeast,MA,330402,Affluent,32%,694,16%,187717,120,5.8,5.42,Refinance,Self-Employed,2+ delinquencies,0,False,N/A,0,0%,Rejected
CUST0068,Ethan,Patel,67,South,FL,367773,Affluent,32%,681,47%,787334,180,7.9,8.14,Auto Loan,Full-Time,None,2,True,Townhouse,667518,117.95%,Approved
CUST0069,Daniel,Chen,34,West,OR,69986,Lower Middle,15%,616,42%,675646,180,7.62,8.26,Auto Loan,Part-Time,1 late,2,False,Multi-Family,396915,170.22%,Approved
CUST0070,Marcus,Brown,22,South,GA,296569,Affluent,32%,782,47%,576486,120,4.12,4.06,Primary Home Purchase,Self-Employed,None,1,False,Single Family,340910,169.1%,Approved
CUST0071,Ethan,Jones,52,Midwest,MI,237990,Affluent,32%,539,19%,706639,180,5.63,5.81,Primary Home Purchase,Unemployed,2+ delinquencies,1,False,Multi-Family,1385289,51.01%,Pending
CUST0072,Ryan,Jones,57,Northeast,MA,65954,Lower Middle,15%,728,28%,609655,180,6.85,6.71,Investment Property,Full-Time,1 late,1,True,Multi-Family,1366585,44.61%,Approved
CUST0073,Daniel,Chen,47,Midwest,OH,353412,Affluent,32%,561,50%,238456,180,4.3,5.1,Primary Home Purchase,Full-Time,1 late,1,False,N/A,0,0%,Pending
CUST0074,Noah,Lopez,74,Northeast,PA,59402,Lower Middle,15%,687,48%,801883,120,6.99,7.25,Investment Property,Part-Time,None,0,False,N/A,0,0%,Pending
CUST0075,Olivia,Kim,74,Midwest,IL,180322,Upper Middle,24%,700,50%,627564,120,7.77,8.07,Investment Property,Unemployed,None,2,True,Townhouse,458165,136.97%,Pending
CUST0076,Ryan,Chen,29,West,CO,89129,Middle,22%,555,34%,688418,360,7.79,8.27,Primary Home Purchase,Part-Time,2+ delinquencies,0,True,Condo,1306952,52.67%,Pending
CUST0077,Daniel,Lopez,32,Northeast,NJ,198976,Upper Middle,24%,648,39%,443276,360,6.69,7.27,Primary Home Purchase,Self-Employed,2+ delinquencies,2,False,N/A,0,0%,Rejected
CUST0078,Olivia,Chen,74,Midwest,IL,155995,Upper Middle,24%,824,31%,230553,120,6.01,5.63,Investment Property,Unemployed,1 late,2,False,N/A,0,0%,Approved
CUST0079,Noah,Jones,34,Northeast,MA,223624,Affluent,32%,787,29%,307594,180,4.23,3.81,Refinance,Self-Employed,1 late,2,True,Condo,398420,77.2%,Pending
CUST0080,Ethan,Khan,64,West,OR,372703,Affluent,32%,834,37%,805164,180,7.35,7.09,Auto Loan,Self-Employed,2+ delinquencies,1,True,Condo,146150,550.92%,Approved
CUST0081,Mia,Lopez,53,Southwest,AZ,240017,Affluent,32%,650,51%,184055,180,7.26,8.08,Auto Loan,Self-Employed,2+ delinquencies,0,False,N/A,0,0%,Pending
CUST0082,Sophia,Singh,36,West,WA,367003,Affluent,32%,830,49%,509297,180,4.0,3.98,Primary Home Purchase,Full-Time,1 late,2,True,Multi-Family,502845,101.28%,Approved
CUST0083,Emily,Chen,66,Southwest,NV,394809,Affluent,32%,584,44%,791040,360,6.1,6.78,Auto Loan,Part-Time,1 late,1,False,N/A,0,0%,Approved
CUST0084,Mia,Jones,72,Northeast,PA,241760,Affluent,32%,659,51%,881460,360,6.65,7.47,Investment Property,Unemployed,2+ delinquencies,1,False,Townhouse,638924,137.96%,Pending
CUST0085,Daniel,Jones,69,Southwest,NV,275596,Affluent,32%,582,24%,352186,180,5.73,6.01,Primary Home Purchase,Full-Time,1 late,2,False,N/A,0,0%,Approved
CUST0086,Mia,Singh,24,Northeast,PA,179369,Upper Middle,24%,760,49%,830977,180,7.13,7.41,Auto Loan,Self-Employed,2+ delinquencies,1,True,N/A,0,0%,Rejected
CUST0087,Ryan,Kim,35,West,WA,178746,Upper Middle,24%,624,17%,93642,120,8.0,8.14,Primary Home Purchase,Part-Time,1 late,0,True,Single Family,406916,23.01%,Rejected
CUST0088,Noah,Khan,60,Midwest,IL,362975,Affluent,32%,609,32%,453119,120,8.03,8.47,Primary Home Purchase,Full-Time,1 late,0,False,N/A,0,0%,Rejected
CUST0089,Mia,Chen,62,South,NC,279690,Affluent,32%,756,47%,136231,360,7.91,8.15,Auto Loan,Full-Time,2+ delinquencies,2,False,Single Family,185228,73.55%,Rejected
CUST0090,Sophia,Jones,51,Southwest,NV,99274,Middle,22%,707,21%,244692,360,8.33,8.05,Primary Home Purchase,Self-Employed,2+ delinquencies,2,False,Condo,607007,40.31%,Rejected
CUST0091,Ryan,Kim,65,South,NC,156209,Upper Middle,24%,725,27%,666412,360,4.87,4.71,Primary Home Purchase,Part-Time,2+ delinquencies,0,True,Single Family,600551,110.97%,Rejected
CUST0092,Emily,Patel,37,Midwest,WI,232053,Affluent,32%,593,46%,194353,360,5.76,6.48,Investment Property,Part-Time,None,0,False,Multi-Family,218563,88.92%,Rejected
CUST0093,Emily,Patel,67,South,FL,278512,Affluent,32%,541,40%,426826,180,7.92,8.52,Auto Loan,Self-Employed,None,2,True,Multi-Family,1417803,30.1%,Rejected
CUST0094,Marcus,Lopez,67,Midwest,MI,321385,Affluent,32%,545,48%,862461,180,8.49,9.25,Primary Home Purchase,Self-Employed,None,0,True,N/A,0,0%,Approved
CUST0095,Emily,Brown,58,Southwest,NM,314186,Affluent,32%,714,31%,487629,120,8.25,8.17,Auto Loan,Full-Time,2+ delinquencies,1,True,Single Family,470530,103.63%,Rejected
CUST0096,Ethan,Lopez,72,South,TX,209362,Upper Middle,24%,839,39%,394855,180,7.89,7.67,Auto Loan,Self-Employed,1 late,0,True,N/A,0,0%,Approved
CUST0097,Daniel,Singh,42,Midwest,IL,112879,Middle,22%,700,38%,881291,180,6.77,6.83,Refinance,Self-Employed,None,1,False,Single Family,159083,553.98%,Approved
CUST0098,Emily,Patel,61,West,CA,261809,Affluent,32%,591,25%,659996,120,4.05,4.35,Refinance,Part-Time,1 late,1,True,Townhouse,757164,87.17%,Approved
CUST0099,Ethan,Lopez,53,Midwest,OH,99298,Middle,22%,607,31%,89499,120,6.57,6.99,Investment Property,Unemployed,1 late,1,False,Multi-Family,1426208,6.28%,Pending
CUST0100,Emily,Kim,31,South,TX,206076,Upper Middle,24%,596,40%,886501,360,4.6,5.2,Investment Property,Part-Time,1 late,1,False,Condo,801001,110.67%,Rejected
CUST0101,Marcus,Bennett,26,West,OR,245048,Affluent,32%,781,23%,699438,120,7.19,6.65,Auto Loan,Unemployed,1 late,1,False,Townhouse,180734,387.0%,Rejected
CUST0102,Marcus,Kim,49,South,FL,235209,Affluent,32%,522,28%,423706,180,4.27,4.63,Investment Property,Unemployed,None,0,True,Townhouse,1279670,33.11%,Pending
CUST0103,Aisha,Patel,35,West,OR,384591,Affluent,32%,826,32%,518933,180,6.94,6.58,Primary Home Purchase,Unemployed,None,2,True,Multi-Family,1470281,35.29%,Rejected
CUST0104,Sophia,Lopez,56,Northeast,PA,89321,Middle,22%,543,34%,491124,180,8.44,8.92,Auto Loan,Part-Time,None,2,False,Single Family,676387,72.61%,Pending
CUST0105,Emily,Khan,46,South,GA,318161,Affluent,32%,781,53%,865858,360,5.28,5.34,Primary Home Purchase,Unemployed,2+ delinquencies,0,False,N/A,0,0%,Rejected
CUST0106,Ethan,Jones,45,Southwest,OK,239373,Affluent,32%,606,28%,754513,360,5.86,6.22,Refinance,Full-Time,None,1,False,Multi-Family,1092092,69.09%,Rejected
CUST0107,Noah,Brown,32,Southwest,NM,230422,Affluent,32%,664,39%,797512,180,7.86,7.94,Primary Home Purchase,Self-Employed,None,0,True,Townhouse,1173314,67.97%,Pending
CUST0108,Emily,Kim,64,Northeast,NY,275011,Affluent,32%,783,26%,421000,180,4.75,4.27,Primary Home Purchase,Self-Employed,None,2,True,Multi-Family,172324,244.31%,Approved
CUST0109,Sophia,Chen,53,Southwest,NV,179381,Upper Middle,24%,627,34%,568477,180,4.55,5.03,Primary Home Purchase,Unemployed,1 late,0,True,Townhouse,297285,191.22%,Approved
CUST0110,Olivia,Kim,67,Northeast,PA,326141,Affluent,32%,531,34%,298500,180,8.34,8.82,Investment Property,Part-Time,1 late,0,False,N/A,0,0%,Approved
CUST0111,Ethan,Patel,25,Midwest,OH,39110,Lower,12%,813,34%,89062,180,5.39,5.07,Auto Loan,Part-Time,1 late,2,False,Condo,727296,12.25%,Rejected
CUST0112,Aisha,Chen,68,South,TX,176649,Upper Middle,24%,633,32%,786400,180,7.91,8.35,Auto Loan,Full-Time,2+ delinquencies,0,False,Multi-Family,1127328,69.76%,Approved
CUST0113,Mia,Bennett,54,West,CA,140169,Upper Middle,24%,739,16%,677697,180,5.43,5.05,Primary Home Purchase,Full-Time,None,0,True,N/A,0,0%,Approved
CUST0114,Daniel,Jones,45,West,WA,59165,Lower Middle,15%,651,52%,840546,180,8.06,8.9,Primary Home Purchase,Full-Time,2+ delinquencies,2,True,Townhouse,870144,96.6%,Pending
CUST0115,Aisha,Kim,66,West,OR,381296,Affluent,32%,595,21%,714468,360,5.75,5.97,Primary Home Purchase,Full-Time,None,0,True,Multi-Family,159973,446.62%,Pending
CUST0116,Sophia,Bennett,35,South,FL,369720,Affluent,32%,522,35%,275049,180,6.16,6.66,Primary Home Purchase,Full-Time,1 late,0,False,N/A,0,0%,Pending
CUST0117,Aisha,Lopez,34,Midwest,WI,242781,Affluent,32%,540,37%,109182,120,8.04,8.58,Primary Home Purchase,Unemployed,2+ delinquencies,2,True,Multi-Family,850188,12.84%,Pending
CUST0118,Marcus,Brown,45,West,CO,299295,Affluent,32%,571,41%,748012,360,6.4,7.02,Auto Loan,Unemployed,1 late,1,False,Condo,780336,95.86%,Approved
CUST0119,Olivia,Patel,21,Midwest,MI,205211,Upper Middle,24%,593,53%,122588,360,7.19,8.05,Auto Loan,Full-Time,1 late,0,False,Multi-Family,986323,12.43%,Pending
CUST0120,Ethan,Kim,36,Southwest,OK,72668,Lower Middle,15%,566,27%,261830,180,7.69,8.03,Refinance,Unemployed,None,1,True,Condo,155388,168.5%,Pending
CUST0121,Olivia,Lopez,25,Northeast,MA,157834,Upper Middle,24%,812,18%,684929,360,7.83,7.19,Investment Property,Part-Time,None,1,True,Multi-Family,1325129,51.69%,Approved
CUST0122,Mia,Singh,22,Northeast,PA,47633,Lower,12%,680,35%,99104,180,4.11,4.11,Investment Property,Self-Employed,2+ delinquencies,2,False,Single Family,1286861,7.7%,Approved
CUST0123,Daniel,Brown,52,Midwest,MI,357252,Affluent,32%,665,17%,436601,180,6.01,5.65,Primary Home Purchase,Full-Time,2+ delinquencies,2,False,Multi-Family,534162,81.74%,Pending
CUST0124,Ryan,Chen,64,West,WA,42323,Lower,12%,751,51%,685232,360,5.81,6.13,Primary Home Purchase,Self-Employed,1 late,0,True,Multi-Family,196492,348.73%,Approved
CUST0125,Aisha,Lopez,43,Midwest,WI,155703,Upper Middle,24%,749,22%,549499,120,6.06,5.8,Refinance,Part-Time,1 late,2,False,Condo,729829,75.29%,Approved
CUST0126,Ethan,Bennett,23,Southwest,OK,161733,Upper Middle,24%,819,50%,92828,120,7.11,7.11,Primary Home Purchase,Self-Employed,1 late,1,False,Single Family,204982,45.29%,Approved
CUST0127,Daniel,Lopez,28,West,OR,132747,Middle,22%,634,54%,79301,120,7.32,8.2,Auto Loan,Unemployed,None,0,False,N/A,0,0%,Pending
CUST0128,Mia,Singh,21,Northeast,NY,106559,Middle,22%,557,48%,568652,180,4.53,5.29,Investment Property,Part-Time,None,1,True,N/A,0,0%,Pending
CUST0129,Emily,Brown,58,Midwest,MI,68067,Lower Middle,15%,709,37%,68073,180,6.32,6.36,Investment Property,Part-Time,2+ delinquencies,2,False,Multi-Family,141929,47.96%,Rejected
CUST0130,Ryan,Lopez,55,South,TX,64594,Lower Middle,15%,677,38%,95033,180,7.25,7.31,Investment Property,Unemployed,2+ delinquencies,1,True,N/A,0,0%,Rejected
CUST0131,Aisha,Singh,26,South,FL,134211,Middle,22%,775,24%,506956,180,5.41,4.89,Investment Property,Part-Time,None,1,False,N/A,0,0%,Rejected
CUST0132,Ryan,Jones,39,Northeast,NY,278289,Affluent,32%,544,29%,614396,120,8.21,8.59,Auto Loan,Part-Time,None,2,False,N/A,0,0%,Rejected
CUST0133,Sophia,Singh,48,Midwest,IL,72913,Lower Middle,15%,785,39%,300497,180,8.48,8.26,Primary Home Purchase,Self-Employed,2+ delinquencies,0,True,Townhouse,1173512,25.61%,Rejected
CUST0134,Aisha,Jones,47,Midwest,MI,127359,Middle,22%,771,47%,671827,360,5.03,4.97,Primary Home Purchase,Self-Employed,None,1,True,Condo,515684,130.28%,Rejected
CUST0135,Olivia,Brown,59,Southwest,NM,129853,Middle,22%,748,36%,243021,360,5.87,5.89,Investment Property,Full-Time,1 late,1,True,N/A,0,0%,Pending
CUST0136,Sophia,Bennett,73,West,CA,90428,Middle,22%,732,40%,687420,120,4.89,4.99,Primary Home Purchase,Full-Time,None,2,True,Multi-Family,483850,142.07%,Rejected
CUST0137,Ethan,Singh,61,South,FL,134131,Middle,22%,553,32%,857655,360,5.69,6.13,Auto Loan,Full-Time,1 late,1,True,Condo,1181928,72.56%,Approved
CUST0138,Daniel,Kim,69,Northeast,MA,33631,Lower,12%,548,47%,270169,180,4.17,4.91,Auto Loan,Unemployed,None,2,True,Condo,588679,45.89%,Rejected
CUST0139,Ethan,Khan,44,Northeast,NJ,279686,Affluent,32%,692,33%,604399,120,5.99,5.95,Auto Loan,Full-Time,None,2,True,Single Family,1398508,43.22%,Rejected
CUST0140,Sophia,Chen,50,Northeast,NY,177603,Upper Middle,24%,796,54%,191214,180,8.46,8.54,Auto Loan,Self-Employed,2+ delinquencies,2,True,Multi-Family,1287786,14.85%,Pending
CUST0141,Mia,Singh,70,South,FL,108815,Middle,22%,739,31%,198702,120,8.39,8.31,Investment Property,Part-Time,2+ delinquencies,0,False,Multi-Family,1023693,19.41%,Approved
CUST0142,Noah,Singh,70,South,TX,309297,Affluent,32%,788,46%,162990,180,4.58,4.5,Investment Property,Full-Time,1 late,2,True,Single Family,150119,108.57%,Rejected
CUST0143,Sophia,Chen,28,Southwest,NM,207876,Upper Middle,24%,691,46%,134080,120,5.29,5.51,Auto Loan,Part-Time,2+ delinquencies,2,True,Multi-Family,386094,34.73%,Pending
CUST0144,Marcus,Lopez,51,Southwest,OK,290298,Affluent,32%,775,36%,108005,360,5.21,4.93,Auto Loan,Full-Time,None,1,False,N/A,0,0%,Approved
CUST0145,Olivia,Singh,57,Midwest,MI,50567,Lower Middle,15%,563,27%,420965,360,7.41,7.75,Primary Home Purchase,Unemployed,2+ delinquencies,2,False,Townhouse,948374,44.39%,Approved
CUST0146,Olivia,Lopez,61,South,FL,263103,Affluent,32%,591,15%,105147,120,7.97,8.07,Auto Loan,Unemployed,2+ delinquencies,1,False,Townhouse,769556,13.66%,Pending
CUST0147,Aisha,Jones,26,West,CA,147235,Upper Middle,24%,605,40%,566409,180,7.75,8.35,Refinance,Part-Time,None,1,True,Single Family,750739,75.45%,Rejected
CUST0148,Daniel,Bennett,65,Midwest,IL,374761,Affluent,32%,651,18%,681827,180,7.99,8.15,Investment Property,Part-Time,None,1,True,N/A,0,0%,Pending
